name,portion,food_source,calories,protein,carbs,fat,fiber,saturated_fat,trans_fat,monounsaturated_fat,polyunsaturated_fat,sugar,added_sugar,sodium,calcium,iron,magnesium,phosphorus,potassium,zinc,vitamin_a,vitamin_c,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b6,vitamin_b12,folate,cholesterol,water,caffeine,alcohol,is_favorite,nutritionist_id,external_id,created_at,updated_at
"Biscoito, doce, wafer, recheado de chocolate",100g,TACO,502.46,5.56,67.54,24.67,1.8,,,,,,,137.24,23.34,2.44,47.85,124.2,240.45,0.87,,,,,,0.37,0.03,1.12,0.3,,,,1.17,,,false,,taco_011,,
"Biscoito, doce, wafer, recheado de morango",100g,TACO,513.45,4.52,67.35,26.4,0.82,,,,,,,119.9,13.71,1.09,18.54,73.16,74.84,0.51,,,,,,0.36,,0.37,0.94,,,1.27,1.17,,,false,,taco_012,,
"Biscoito, salgado, cream cracker",100g,TACO,431.73,10.06,68.73,14.44,2.51,,,,,,,854.36,20.0,2.2,39.75,148.26,180.61,1.14,,,,,,0.71,0.13,7.14,0.17,,,,4.06,,,false,,taco_013,,
"Bolo, mistura para",100g,TACO,418.63,6.16,84.71,6.13,1.7,,,,,,,462.88,58.88,1.21,27.92,332.66,75.36,0.58,,,,,,0.18,,1.52,1.5,,,,1.0,,,false,,taco_014,,
"Bolo, pronto, aipim",100g,TACO,323.85,4.42,47.86,12.75,0.69,,,,,,,111.01,85.02,0.49,10.34,122.19,134.82,0.42,,,,,,0.13,0.07,,,,,73.2,34.13,,,false,,taco_015,,
"Bolo, pronto, chocolate",100g,TACO,410.01,6.22,54.72,18.47,1.43,,,,,,,283.3,74.58,2.13,27.69,196.98,211.76,0.71,,,,,,0.13,0.09,,0.05,,,76.8,19.28,,,false,,taco_016,,
"Bolo, pronto, coco",100g,TACO,333.44,5.67,52.28,11.3,1.05,,,,,,,190.34,57.11,0.85,16.25,303.4,143.29,0.68,,,,,,0.15,0.06,,,,,63.21,29.32,,,false,,taco_017,,
"Bolo, pronto, milho",100g,TACO,311.39,4.8,45.11,12.41,0.71,,,,,,,133.81,82.58,0.65,10.25,128.2,118.43,0.43,,,,,,0.11,0.05,,,,,81.69,36.69,,,false,,taco_018,,
"Canjica, branca, crua",100g,TACO,357.6,7.2,78.06,0.97,5.5,,,,,,,0.79,1.96,0.32,12.32,48.5,92.95,0.36,,,,,,,,,,,,,13.56,,,false,,taco_019,,
"Canjica, com leite integral",100g,TACO,112.46,2.36,23.63,1.24,1.22,,,,,,,27.59,42.56,0.06,5.84,40.58,69.81,0.28,,,,,,,0.04,,,,,1.35,72.49,,,false,,taco_020,,
"Cereais, milho, flocos, com sal",100g,TACO,369.6,7.29,80.83,1.6,5.29,,,,,,,271.74,1.81,0.52,20.1,90.77,68.66,0.61,,,,,,0.12,,,0.06,,,,9.29,,,false,,taco_021,,
"Cereais, milho, flocos, sem sal",100g,TACO,363.34,6.88,80.45,1.18,1.84,,,,,,,30.97,1.97,1.69,16.55,58.36,28.7,0.33,,,,,,0.05,,,0.04,,,,11.22,,,false,,taco_022,,
"Cereais, mingau, milho, infantil",100g,TACO,394.43,6.43,87.27,1.09,3.21,,,,,,,399.4,218.81,3.03,16.03,169.16,82.02,0.36,,109.37,,,,3.72,0.47,24.16,5.08,,,,4.7,,,false,,taco_023,,
"Cereais, mistura para vitamina, trigo, cevada e aveia",100g,TACO,381.13,8.9,81.62,2.12,4.98,,,,,,,1163.26,584.25,12.64,72.27,515.04,244.36,2.02,,13.11,,,,0.76,0.88,7.46,1.49,,,,4.37,,,false,,taco_024,,
"Cereal matinal, milho",100g,TACO,365.35,7.16,83.82,0.96,4.12,,,,,,,654.54,142.92,3.05,10.93,100.8,83.09,7.63,15.46,17.29,,,,0.76,1.02,11.04,2.25,,,,5.53,,,false,,taco_025,,
"Cereal matinal, milho, açúcar",100g,TACO,376.56,4.74,88.84,0.67,2.11,,,,,,,405.31,56.42,3.9,7.94,43.18,51.6,8.48,15.46,14.55,,,,0.73,1.11,10.13,0.79,,,,4.27,,,false,,taco_026,,
